Name,Latitude,Longitude,Output
Warsaw,52.237049,21.017532,1041.0
Berlin,52.520008,13.404954,1027.0
Tokyo,35.6895,139.6917,1296.0
New York,40.7128,-74.006,1311.0
Sydney,-33.8688,151.2093,1477.0
Cape Town,-33.9249,18.4241,1670.0
Buenos Aires,-34.6037,-58.3816,1550.0
Moscow,55.7558,37.6173,1022.0
Cairo,30.0444,31.2357,1723.0
Mumbai,19.076,72.8777,1531.0
Mexico City,19.4326,-99.1332,1740.0
São Paulo,-23.5505,-46.6333,1369.0
Nairobi,-1.2864,36.8172,1488.0
Bangkok,13.7563,100.5018,1390.0
Vancouver,49.2827,-123.1207,1170.0
Istanbul,41.0082,28.9784,1330.0
Madrid,40.4168,-3.7038,1596.0
Seoul,37.5665,126.978,1350.0
Lagos,6.5244,3.3792,1270.0
Paris,48.8566,2.3522,1093.0
Beijing,39.9042,116.4074,1311.0
Singapore,1.3521,103.8198,1239.0
Lima,-12.0464,-77.0428,1340.0
San Francisco,37.7749,-122.4194,1666.0
Hong Kong,22.3193,114.1694,1161.0
Johannesburg,-26.2041,28.0473,1723.0
Toronto,43.6511,-79.3839,1293.0
Auckland,-36.8485,174.7633,1299.0
Dubai,25.2769,55.2962,1718.0
